"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...136",100,-1,"exponential","log_normal","quantile_4","t",0.15345,0.15126,0.154150000000031,0.151760000000072,0.478891612133333,0.596420463733333,0.013773761215379,0.0591606506942144
"D...137",100,-1,"exponential","log_normal","quantile_7","gaussian",0.11824,0.10344,0.120229999999954,0.102419999999986,0.414038871633333,0.303832164733333,0.0172456896090642,0.043338616245427
"D...138",100,-1,"exponential","log_normal","quantile_7","t",0.10846,0.06875,0.104169999999993,0.0710699999999752,0.172557354633333,0.0567994969333333,0.0226555537563801,0.0512866242798976
"D...139",100,-1,"exponential","log_normal","quantile_8","gaussian",0.06944,0.08931,0.0648800000000109,0.0929600000000253,0.0618587539333333,0.111313207933333,0.0186785141223191,0.059374467995867
"D...140",100,-1,"exponential","log_normal","quantile_8","t",0.09698,0.12857,0.0948399999999588,0.130559999999978,0.210222131733333,0.311227337633333,0.00463123312606628,0.0471435971074185
"D...141",100,-1,"exponential","log_normal","poly","gaussian",0.12024,0.15523,0.118299999999979,0.155879999999982,0.430812232633333,0.435038930833333,0.0107444776161003,0.0222845586446654
"D...142",100,-1,"exponential","log_normal","poly","t",0.10309,0.19822,0.10280999999998,0.199170000000006,0.157905537233333,1.04849810353333,0.0117706763322215,0.0119019597557168
"D...143",100,-1,"exponential","log_normal","akima","gaussian",0.20654,0.13682,0.204609999999833,0.141279999999984,1.16420297103333,0.548541177133333,0.00868302269171362,0.0615469026720454
"D...144",100,-1,"exponential","log_normal","akima","t",0.10231,0.13039,0.10344999999997,0.129660000000001,0.317166732033334,0.354499425233333,0.00729632429505226,0.0602260663777386
"D...145",100,-1,"exponential","beta","quantile_1","gaussian",0.08386,0.18738,0.0828200000000374,0.189020000000006,0.0775932414333334,0.681376665033333,0.0386840123558584,0.00350895886334916
"D...146",100,-1,"exponential","beta","quantile_1","t",0.08503,0.12351,0.086240000000054,0.12547000000004,0.111424127933333,0.317632403433333,0.0332936585716598,0.00415750818088148
"D...147",100,-1,"exponential","beta","quantile_4","gaussian",0.0879,0.12586,0.0879499999999801,0.123579999999954,0.0961758187333333,0.268115211633333,0.0260573696357855,0.000920130239757881
"D...148",100,-1,"exponential","beta","quantile_4","t",0.1189,0.14121,0.119529999999959,0.139870000000003,0.187588603933333,0.495629363533333,0.00857362582636224,0.000921687710163206
"D...149",100,-1,"exponential","beta","quantile_7","gaussian",0.15064,0.10926,0.148260000000072,0.108240000000027,0.522867858833333,0.174943174133333,0.0112150779827506,0.00074205645737071
"D...150",100,-1,"exponential","beta","quantile_7","t",0.13302,0.13911,0.133940000000039,0.140589999999955,0.403144651433333,0.414055278033333,0.0140451777247422,0.000734727092467452
"D...151",100,-1,"exponential","beta","quantile_8","gaussian",0.14017,0.10099,0.140319999999995,0.0996800000000266,0.310989406533333,0.293066340033333,0.0143802629798615,0.00074006234646027
"D...152",100,-1,"exponential","beta","quantile_8","t",0.06595,0.07323,0.0673400000000347,0.0736599999999474,0.0881697123333333,0.130385591433333,0.0120087829185591,0.00127344823026362
"D...153",100,-1,"exponential","beta","poly","gaussian",0.17169,0.12805,0.176110000000317,0.130020000000142,1.20686909493333,0.561167900933333,0.00821496814919015,0.000891040574773524
